Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,13.210000,13.360000,12.380000,12.420000,12.420000,0
2019-04-23,12.660000,12.690000,12.080000,12.280000,12.280000,0
2019-04-24,12.530000,13.230000,12.260000,13.140000,13.140000,0
2019-04-25,13.290000,14.300000,12.810000,13.250000,13.250000,0
2019-04-26,13.440000,13.620000,12.490000,12.730000,12.730000,0
2019-04-29,13.040000,13.270000,12.650000,13.110000,13.110000,0
2019-04-30,13.110000,14.050000,12.880000,13.120000,13.120000,0
2019-05-01,12.860000,14.830000,12.740000,14.800000,14.800000,0
2019-05-02,14.350000,15.920000,13.800000,14.420000,14.420000,0
2019-05-03,14.110000,14.150000,12.800000,12.870000,12.870000,0
2019-05-06,12.890000,18.799999,12.890000,15.440000,15.440000,0
2019-05-07,15.900000,21.840000,15.800000,19.320000,19.320000,0
2019-05-08,18.950001,21.740000,18.290001,19.400000,19.400000,0
2019-05-09,21.400000,23.379999,18.870001,19.100000,19.100000,0
2019-05-10,18.790001,20.190001,15.570000,16.040001,16.040001,0
2019-05-13,18.620001,21.320000,18.350000,20.549999,20.549999,0
2019-05-14,19.400000,19.650000,17.450001,18.059999,18.059999,0
2019-05-15,17.570000,19.150000,16.410000,16.440001,16.440001,0
2019-05-16,16.690001,17.129999,15.160000,15.290000,15.290000,0
2019-05-17,15.890000,16.809999,14.860000,15.960000,15.960000,0
2019-05-20,15.880000,17.629999,15.460000,16.309999,16.309999,0
2019-05-21,15.860000,16.219999,14.790000,14.950000,14.950000,0
2019-05-22,15.060000,15.440000,14.420000,14.750000,14.750000,0
2019-05-23,15.930000,18.049999,15.280000,16.920000,16.920000,0
2019-05-24,16.340000,16.520000,15.520000,15.850000,15.850000,0
2019-05-28,16.549999,17.700001,15.900000,17.500000,17.500000,0
2019-05-29,18.549999,19.040001,17.620001,17.900000,17.900000,0
2019-05-30,17.469999,18.110001,16.719999,17.299999,17.299999,0
2019-05-31,19.049999,19.719999,18.010000,18.709999,18.709999,0
2019-06-03,19.410000,19.750000,18.160000,18.860001,18.860001,0
2019-06-04,18.740000,18.740000,16.969999,16.969999,16.969999,0
2019-06-05,17.059999,17.490000,16.040001,16.090000,16.090000,0
2019-06-06,16.250000,16.540001,15.360000,15.930000,15.930000,0
2019-06-07,15.650000,16.440001,15.330000,16.299999,16.299999,0
2019-06-10,16.299999,16.469999,15.840000,15.940000,15.940000,0
2019-06-11,15.840000,16.700001,15.500000,15.990000,15.990000,0
2019-06-12,16.260000,16.430000,15.780000,15.910000,15.910000,0
2019-06-13,16.160000,16.209999,15.610000,15.820000,15.820000,0
2019-06-14,16.000000,16.400000,15.210000,15.280000,15.280000,0
2019-06-17,15.650000,15.760000,15.240000,15.350000,15.350000,0
2019-06-18,14.890000,15.540000,14.620000,15.150000,15.150000,0
2019-06-19,15.050000,15.710000,14.150000,14.330000,14.330000,0
2019-06-20,14.040000,16.030001,13.190000,14.750000,14.750000,0
2019-06-21,14.740000,15.480000,14.420000,15.400000,15.400000,0
2019-06-24,15.460000,15.560000,15.230000,15.260000,15.260000,0
2019-06-25,15.430000,16.680000,15.100000,16.280001,16.280001,0
2019-06-26,16.100000,16.600000,15.470000,16.209999,16.209999,0
2019-06-27,15.660000,16.400000,15.660000,15.820000,15.820000,0
2019-06-28,15.700000,16.129999,15.080000,15.080000,15.080000,0
2019-07-01,13.850000,14.640000,13.800000,14.060000,14.060000,0
2019-07-02,14.160000,14.300000,12.900000,12.930000,12.930000,0
2019-07-03,13.180000,13.190000,12.560000,12.570000,12.570000,0
2019-07-05,13.000000,14.470000,12.040000,13.280000,13.280000,0
2019-07-08,13.730000,14.440000,13.640000,13.960000,13.960000,0
2019-07-09,14.470000,14.710000,13.990000,14.090000,14.090000,0
2019-07-10,14.380000,14.690000,12.980000,13.030000,13.030000,0
2019-07-11,13.010000,13.330000,12.390000,12.930000,12.930000,0
2019-07-12,12.760000,12.820000,12.280000,12.390000,12.390000,0
2019-07-15,12.580000,13.020000,12.490000,12.680000,12.680000,0
2019-07-16,12.610000,13.140000,12.280000,12.860000,12.860000,0
2019-07-17,12.620000,13.970000,12.240000,13.970000,13.970000,0
2019-07-18,14.450000,14.500000,13.190000,13.530000,13.530000,0
2019-07-19,13.310000,14.450000,13.090000,14.450000,14.450000,0
2019-07-22,14.550000,14.700000,13.420000,13.530000,13.530000,0
